지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
마포구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],68,96,98,101,72,69,57,219,101,191,138,44,74,74,53,67,50,37,42,53,47,41,32,44,34,27,46,30,37,41
서대문구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],75,113,114,119,74,70,59,233,107,202,135,44,79,82,52,66,50,37,41,48,50,38,32,45,35,29,45,25,34,38
서초구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],89,105,103,112,93,84,90,237,114,200,129,42,73,76,52,73,56,37,46,61,63,53,64,55,40,28,47,31,52,32
성동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],72,106,94,104,81,70,62,233,111,200,160,58,78,81,56,68,48,39,38,66,52,38,33,52,37,27,40,27,37,41
성북구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],70,103,95,106,86,74,65,243,112,194,136,42,75,78,59,70,51,39,44,55,57,48,33,51,41,29,45,29,40,41
송파구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],53,77,91,99,54,53,45,147,70,142,103,38,62,69,46,45,34,30,37,41,40,35,27,33,32,23,33,20,26,29
양천구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],66,97,102,114,73,71,60,219,104,208,137,45,79,79,57,71,54,41,47,56,50,45,33,43,39,31,46,31,38,38
영등포구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],54,77,79,81,55,51,45,132,69,133,87,34,60,61,43,45,34,30,33,37,38,31,26,34,27,24,29,19,26,29
용산구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],69,103,92,107,77,71,67,233,104,207,140,53,76,77,56,67,59,-,47,52,49,38,31,49,35,26,39,25,33,32
은평구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],60,87,86,90,61,58,47,159,79,153,116,40,67,73,45,48,37,31,33,42,42,33,26,38,33,22,33,20,28,30
종로구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],57,81,84,87,60,56,45,164,75,147,112,37,65,70,45,48,35,30,31,40,39,32,26,35,29,22,32,19,27,29
중구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],65,100,93,101,79,71,63,227,105,189,145,46,79,81,57,66,51,39,40,54,50,42,35,48,39,28,43,27,38,37
중랑구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
