지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
별양동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 광명시],72,102,104,125,79,71,61,249,108,209,127,42,77,79,56,69,47,39,49,54,54,45,35,46,41,29,45,31,34,-
소하동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 광명시],73,102,110,125,78,72,61,240,108,221,114,66,83,82,55,69,51,41,53,56,52,44,35,48,41,33,45,33,38,-
철산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 광주시],72,95,98,100,75,61,58,-,-,203,129,43,76,90,59,60,45,41,41,50,52,45,37,48,44,29,43,28,38,-
경안동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 구리시],75,107,103,105,88,74,57,226,97,157,136,48,83,90,66,64,49,47,47,57,56,46,35,52,42,36,47,30,45,-
교문동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 구리시],83,114,103,107,98,85,65,237,102,161,148,63,90,102,76,74,52,55,54,68,68,56,45,63,55,45,54,36,54,-
동구동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 군포시],85,110,124,142,82,71,59,233,100,189,109,39,87,96,63,65,44,42,47,53,56,40,27,36,40,30,47,25,42,-
당동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 군포시],79,103,112,125,74,68,50,239,104,184,106,37,72,78,54,67,42,39,41,48,47,34,26,39,35,25,49,26,35,-
산본동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 김포시],102,131,151,152,100,94,72,299,128,221,161,71,108,120,78,80,58,60,61,76,72,61,45,53,47,38,63,39,53,-
고촌면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 김포시],84,115,132,127,83,81,53,272,103,195,140,57,88,101,69,66,48,46,49,62,57,48,32,43,38,27,58,31,42,-
사우동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 김포시],89,110,116,125,103,95,68,282,117,197,148,65,88,103,84,73,56,54,63,82,73,56,47,56,55,39,64,43,50,-
통진읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 남양주시],57,90,78,82,72,63,55,212,88,151,128,37,67,69,47,57,41,32,33,46,50,38,32,49,35,27,36,23,34,-
금곡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 남양주시],66,104,79,86,70,71,51,199,95,145,127,36,69,69,45,50,33,33,31,55,53,37,36,49,39,23,25,-,-,-
오남읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 동두천시],75,103,87,90,74,62,51,257,90,154,142,45,85,123,64,59,35,43,35,58,50,43,36,51,37,31,43,27,41,-
보산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 부천시],69,97,115,125,83,79,70,214,97,193,143,61,84,79,60,65,50,42,58,61,54,54,40,49,45,40,52,38,41,-
내동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 부천시],72,101,122,136,74,71,61,247,100,184,130,44,86,93,59,74,80,55,52,50,48,43,30,41,33,30,54,25,39,-
소사본동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 부천시],75,70,98,136,84,76,55,282,117,203,146,61,76,86,55,72,56,44,50,57,54,44,31,47,37,28,52,32,39,-
오정동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
