지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
김포시,125,103,95,68,282,117,197,148,65,88,103,84,73,56,54,63,82,73,56,47,56,55,39,64,43,49,65,89,67,59
남양주시,82,72,63,55,212,88,151,128,37,67,69,47,57,41,32,33,46,50,38,32,49,35,27,36,23,34,47,72,54,36
남양주시,86,70,71,51,199,95,145,127,36,69,69,45,50,33,33,31,55,53,37,36,49,39,23,25,-,-,-,71,50,33
동두천시,90,74,62,51,257,90,154,142,45,85,123,64,59,35,43,35,58,50,43,36,51,37,31,43,27,35,55,95,71,43
부천시,125,83,79,70,214,97,193,143,61,84,79,60,65,50,42,58,61,54,54,40,49,45,40,52,38,41,52,63,51,46
부천시,136,74,71,61,247,100,184,130,44,86,93,59,74,80,55,52,50,48,43,30,41,33,30,54,25,36,48,73,58,52
부천시,136,84,76,55,282,117,203,146,61,76,86,55,72,56,44,50,57,54,44,31,47,37,28,52,32,41,55,73,60,43
부천시,128,80,73,59,234,106,185,134,52,86,88,72,72,53,48,59,56,56,48,36,47,42,35,56,31,41,51,69,55,51
성남시,92,70,65,60,195,96,181,123,42,71,72,50,60,47,36,41,50,50,38,32,44,39,31,41,27,35,49,68,56,41
성남시,103,74,68,59,185,94,178,118,43,83,79,56,61,45,39,43,50,51,41,34,48,41,34,40,26,36,51,69,59,39
성남시,75,61,55,47,148,72,127,91,36,62,60,42,46,38,33,36,42,42,35,28,41,35,29,38,24,32,42,56,46,38
성남시,93,67,60,53,167,83,160,102,36,65,65,45,53,35,31,33,41,42,30,25,38,33,23,40,23,33,43,59,48,33
