DATE1,LOC,LOC_1,a_pm10,a_pm25
20160103,Daegu,달성군,46.0000,26.0833
20160103,Daegu,동구,74.6875,58.4583
20160103,Daegu,북구,80.7292,46.7083
20160103,Daegu,서구,87.6458,51.6875
20160103,Daegu,수성구,69.3542,48.6875
20160103,Daegu,중구,73.1667,0.0000
20160103,Daejeon,대덕구,66.8222,0.0000
20160103,Daejeon,동구,55.2083,0.0000
20160103,Daejeon,서구,56.1111,0.0000
20160103,Daejeon,유성구,64.3958,45.2609
20160103,Daejeon,중구,66.6250,0.0000
20160103,Busan,강서구,71.8125,57.6875
20160103,Busan,금정구,62.2609,45.8085
20160103,Busan,기장군,49.8542,35.6042
20160103,Busan,남구,55.2917,42.1250
20160103,Busan,동구,58.0625,42.3958
20160103,Busan,동래구,68.7500,46.7292
20160103,Busan,부산진구,65.8333,57.8333
20160103,Busan,북구,58.0000,49.8750
20160103,Busan,사상구,63.9583,51.5417
20160103,Busan,사하구,70.8750,55.3333
20160103,Busan,서구,46.4167,41.3750
20160103,Busan,수영구,60.1250,40.2917
20160103,Busan,연제구,66.5417,51.2083
20160103,Busan,영도구,52.0000,40.8333
20160103,Busan,중구,58.0833,51.3750
20160103,Busan,해운대구,53.5833,39.1875
20160103,Seoul,강남구,94.6667,59.7917
20160103,Seoul,강동구,93.7917,55.5000
20160103,Seoul,강북구,93.3000,63.2308
20160103,Seoul,강서구,114.4167,50.2083
20160103,Seoul,관악구,95.5833,60.2500
20160103,Seoul,광진구,110.6250,79.9583
20160103,Seoul,구로구,83.0000,50.5000
20160103,Seoul,금천구,96.1667,66.8333
20160103,Seoul,노원구,87.0000,59.5000
20160103,Seoul,도봉구,83.2917,48.0833
20160103,Seoul,동대문구,95.5000,58.7083
20160103,Seoul,동작구,106.0625,60.7083
20160103,Seoul,마포구,107.4792,67.6667
20160103,Seoul,서대문구,109.4167,53.1667
20160103,Seoul,서초구,106.6458,52.4583
20160103,Seoul,성동구,92.8750,50.3333
20160103,Seoul,성북구,86.5417,50.2917
20160103,Seoul,송파구,76.3333,43.8333
20160103,Seoul,양천구,116.4167,79.8750
20160103,Seoul,영등포구,122.3333,52.7500
20160103,Seoul,용산구,94.5833,62.0833
20160103,Seoul,은평구,96.0000,49.1667
20160103,Seoul,종로구,100.3830,68.2083
20160103,Seoul,중구,90.6875,49.5833
20160103,Seoul,중랑구,92.4167,53.6250
20160103,Sejongsi,세종,67.3333,0.0000
20160103,Ulsan,남구,58.2857,34.0833
20160103,Ulsan,동구,47.5833,36.7391
20160103,Ulsan,북구,69.3542,42.1250
20160103,Ulsan,울주군,63.2500,38.6458
20160103,Ulsan,중구,65.7500,45.7083
20160103,Incheon,강화군,73.8333,48.0833
20160103,Incheon,계양구,109.1739,76.7273
20160103,Incheon,남구,119.6667,0.0000
20160103,Incheon,남동구,100.7042,73.8723
20160103,Incheon,동구,82.6042,0.0000
20160103,Incheon,부평구,70.8750,0.0000
20160103,Incheon,서구,76.8125,51.7917
20160103,Incheon,연수구,74.4583,0.0000
20160103,Incheon,옹진군,129.8125,112.4583
20160103,Incheon,중구,82.3542,64.6596
20160103,Jeollanam-do,광양시,52.6458,31.0319
20160103,Jeollanam-do,목포시,80.4583,50.1667
20160103,Jeollanam-do,순천시,46.6042,43.4783
20160103,Jeollanam-do,여수시,42.9167,34.5417
20160103,Jeollanam-do,영암군,72.0833,57.9583
20160103,Jeollanam-do,화순군,35.7500,0.0000
20160103,Jeollabuk-do,고창군,62.9167,0.0000
20160103,Jeollabuk-do,군산시,75.4722,54.7647
20160103,Jeollabuk-do,김제시,68.2083,55.5417
20160103,Jeollabuk-do,남원시,64.7500,0.0000
20160103,Jeollabuk-do,부안군,75.2917,61.5000
20160103,Jeollabuk-do,익산시,73.1250,60.2917
20160103,Jeollabuk-do,임실군,51.7083,0.0000
