DATE1,LOC,a_pm10,a_pm25
20160118,서울,57.6977,31.7052
20160118,세종,40.0417,0.0000
20160118,Ulsan,32.4846,20.7986
20160118,인천,48.9524,29.5585
20160118,전남,27.3750,19.5992
20160118,전북,40.8177,25.7253
20160118,제주,44.3297,25.9158
20160118,충남,43.6167,23.2000
20160118,충북,42.6061,29.6625
20160119,강원,31.7919,14.7910
20160119,경기,34.5569,13.4789
20160119,경남,18.9523,8.5929
20160119,경북,26.7068,15.7381
20160119,광주,12.2639,6.6905
20160119,대구,21.9752,9.7072
20160119,대전,20.2652,7.0000
20160119,부산,23.4073,12.0180
20160119,서울,35.7823,12.7281
20160119,세종,26.6579,0.0000
20160119,Ulsan,19.9178,7.4577
20160119,인천,26.6140,10.3297
20160119,전남,17.0157,8.2165
20160119,전북,22.3858,12.6222
20160119,제주,27.1053,11.6196
20160119,충남,26.0886,9.8333
20160119,충북,23.8276,11.2469
20160120,강원,39.3406,28.2148
20160120,경기,45.8373,26.1226
20160120,경남,28.4432,17.9803
20160120,경북,32.1132,24.1818
20160120,광주,23.1256,16.0440
20160120,대구,34.1111,20.2775
20160120,대전,37.9874,23.3750
20160120,부산,33.0361,22.8488
20160120,서울,40.9086,22.3209
20160120,세종,46.1351,0.0000
20160120,Ulsan,33.6299,16.9643
20160120,인천,33.0938,19.6223
20160120,전남,24.6804,16.9578
20160120,전북,38.7102,32.1667
20160120,제주,24.8617,13.2234
20160120,충남,35.1229,31.8421
20160120,충북,42.5344,29.1875
20160121,강원,50.0087,38.0857
20160121,경기,59.3789,33.5303
20160121,경남,33.9962,20.7313
20160121,경북,41.1813,28.8158
20160121,광주,26.5646,19.0926
20160121,대구,42.3509,26.5000
20160121,대전,48.8376,34.9583
20160121,부산,38.0278,25.6024
20160121,서울,53.7692,29.7551
20160121,세종,55.8542,0.0000
20160121,Ulsan,38.1517,20.2429
20160121,인천,42.9019,26.5376
20160121,전남,26.0594,20.3982
20160121,전북,52.6966,46.2568
20160121,제주,25.9890,15.8864
20160121,충남,39.3782,35.7222
20160121,충북,59.7297,43.7333
20160122,강원,47.9083,37.1367
20160122,경기,54.3914,28.7288
20160122,경남,27.5688,15.9767
20160122,경북,36.1013,19.7500
20160122,광주,23.6791,14.4048
20160122,대구,35.2125,20.9323
20160122,대전,41.8243,24.7826
20160122,부산,32.1100,20.6835
20160122,서울,52.4151,27.4303
20160122,세종,46.0625,0.0000
